Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
2320	-553.3373	-569.2641	15.92685	15.08242	2.425332
2330	-555.7458	-565.9411	10.19529	17.12386	2.751004
2340	-546.9272	-560.4753	13.54811	15.94934	2.575443
2350	-552.2269	-568.7607	16.53383	14.72761	2.381094
2360	-558.8475	-570.9745	12.12706	11.78151	2.623849
2370	-555.4896	-561.7918	6.302224	11.76179	3.117978
2380	-559.6144	-569.8925	10.27818	12.19854	2.795791
2390	-551.4799	-562.0309	10.55096	15.08266	2.781762
2400	-552.3078	-560.8609	8.55314	14.129	2.934882
2410	-547.1482	-556.6137	9.4655	13.89786	2.872711
2420	-547.9128	-568.3113	20.39854	16.17343	2.148797
2430	-549.4842	-564.5055	15.02134	18.95642	2.431035
2440	-563.8411	-570.461	6.619902	13.25752	3.089887
2450	-555.1913	-562.848	7.656682	15.79642	2.950266
2460	-539.5618	-548.6981	9.13621	11.95434	2.88316
2470	-562.0893	-569.4179	7.328619	14.23676	3.019046
2480	-546.3995	-552.9434	6.543903	15.64743	3.026546
2490	-543.9212	-557.7719	13.85075	13.89278	2.557106
2500	-545.3654	-558.3314	12.96599	13.28728	2.611831
2510	-544.6091	-554.8471	10.23798	13.91579	2.81704
2520	-547.9174	-559.6145	11.69716	19.84854	2.57525
2530	-563.256	-569.2155	5.959537	12.49876	3.149112
2540	-556.3171	-562.7272	6.410046	13.51584	3.101074
2550	-545.2305	-555.0936	9.863112	11.91455	2.820974
2560	-547.8858	-557.6507	9.764888	13.64588	2.852536
2570	-558.2882	-563.3461	5.057893	11.88171	3.224221
2580	-557.1641	-559.0219	1.857887	7.59946	3.163629
2590	-545.5961	-553.6943	8.098211	13.99687	2.969455
2600	-562.073	-569.7569	7.683947	11.4124	2.990149
2610	-555.2598	-562.5733	7.313577	11.87782	3.034305
2620	-551.0424	-559.3353	8.292955	13.93875	2.95646
2630	-549.3353	-560.2757	10.94032	11.83793	2.727186
2640	-546.6546	-559.8861	13.23147	14.27321	2.604609
2650	-559.538	-563.4704	3.932385	11.60898	3.319606
2660	-550.3752	-557.7332	7.358032	15.07096	2.993825
2670	-546.3956	-557.7147	11.31909	17.60699	2.670992
2680	-549.4319	-562.0265	12.5946	13.19931	2.638075
2690	-555.2958	-559.6264	4.330627	11.32821	3.283074
2700	-564.387	-565.793	1.405977	9.132051	3.473425
2710	-554.3644	-562.9633	8.598982	12.19981	2.93347
2720	-546.704	-561.3952	14.69123	15.24724	2.507217
2730	-546.4933	-558.3874	11.89411	12.59149	2.677201
2740	-560.1131	-570.7418	10.62877	15.23554	2.773874
2750	-556.5921	-565.1402	8.548064	17.60463	2.828468
2760	-559.0709	-559.8934	0.8224647	13.35289	3.52257
2770	-551.5303	-559.5241	7.993821	12.29416	2.984338
2780	-548.9766	-557.8541	8.877498	12.36561	2.91369
2790	-553.9997	-559.4121	5.412351	12.29307	3.194318
2800	-547.9866	-554.2773	6.290656	11.98626	3.121472
2810	-549.3514	-556.0962	6.7448	10.451	3.028236
2820	-552.7898	-568.5118	15.72206	15.23583	2.439572
2830	-558.8522	-563.7795	4.927297	10.23298	3.19016
2840	-548.4495	-558.4744	10.02488	12.27651	2.818675
2850	-551.478	-561.7454	10.26733	15.43325	2.793449
2860	-549.3949	-561.2063	11.81135	14.23685	2.704175
2870	-563.5684	-564.1947	0.6263101	10.16471	3.609058
2880	-549.5483	-556.0179	6.469621	14.83943	3.060749
2890	-549.922	-560.4773	10.55533	15.96428	2.762718
2900	-562.3366	-570.3079	7.971234	16.87777	2.890642
2910	-557.7761	-565.2312	7.455031	11.71987	3.018992
2920	-551.6928	-560.6139	8.921117	14.22749	2.907335
2930	-551.7761	-557.782	6.005954	10.97225	3.124083
2940	-551.7626	-555.0952	3.332624	12.42908	3.360799
2950	-562.0554	-569.6165	7.56105	11.22792	2.994
2960	-561.8067	-565.8551	4.04833	13.70235	3.269508
2970	-562.4475	-566.3721	3.924607	14.89945	3.229534
2980	-556.2563	-565.7095	9.453218	16.66275	2.810035
2990	-547.8148	-560.5498	12.73506	16.46066	2.617222
3000	-547.2476	-560.1542	12.9066	13.83617	2.624525
3010	-553.2125	-563.785	10.57247	18.07558	2.697448
3020	-551.9654	-562.8793	10.91392	17.67467	2.691822
3030	-555.8035	-565.3542	9.550727	14.91517	2.85161
3040	-556.5838	-564.0935	7.509728	13.34291	3.021872
3050	-555.6175	-566.2651	10.6476	19.46173	2.642878
3060	-549.1148	-556.6664	7.551579	12.65855	3.022214
3070	-556.311	-564.4951	8.184092	17.39962	2.857467
3080	-555.2038	-561.3331	6.129332	12.1362	3.135727
3090	-544.8949	-555.5097	10.61483	12.45418	2.775544
3100	-549.1573	-563.1051	13.94785	14.41622	2.555448
3110	-554.0432	-564.6455	10.60239	14.20813	2.789309
3120	-550.6565	-560.3741	9.717631	10.89882	2.780661
3130	-540.7921	-553.5229	12.73078	15.84027	2.628391
3140	-548.8265	-559.4701	10.64358	10.79698	2.687365
3150	-559.6525	-563.4161	3.763589	14.02815	3.277907
3160	-561.2959	-565.1773	3.881381	10.46604	3.302821
3170	-559.195	-563.2059	4.010874	15.18747	3.210503
3180	-547.9818	-557.0763	9.094486	19.32723	2.728309
3190	-555.7038	-561.1625	5.458651	13.80888	3.163605
3200	-567.1899	-573.139	5.949142	11.40428	3.14198
3210	-552.7403	-565.5659	12.82555	16.44815	2.611967
3220	-560.8301	-565.8924	5.062294	13.76725	3.193574
3230	-546.6315	-558.6576	12.02602	12.14082	2.650052
3240	-558.9274	-567.8534	8.926034	12.62799	2.913322
3250	-557.838	-562.7969	4.958838	11.64492	3.23148
3260	-546.6508	-556.2696	9.618793	16.90791	2.792016
3270	-551.9016	-561.653	9.751348	11.9411	2.831259
