Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
270	0	-561.5996	-569.1406	7.540935	12.55502	3.022814
271	1	-543.9554	-559.9014	15.94603	17.14663	2.414877
272	0	-552.6462	-557.7538	5.107549	10.4138	3.182948
273	1	-549.8499	-562.6155	12.7656	12.09923	2.587095
274	0	-545.8469	-559.1812	13.33439	16.60187	2.578254
275	1	-544.1039	-561.422	17.31813	13.82271	2.305239
276	0	-547.6549	-557.0741	9.419152	14.92646	2.860195
277	1	-546.0683	-567.1009	21.03258	15.84869	2.104447
278	0	-548.3228	-558.4564	10.13352	14.45368	2.819568
279	1	-543.4935	-560.8086	17.31508	14.2396	2.317662
280	0	-552.1262	-561.8636	9.737409	12.97935	2.853221
281	1	-563.4172	-563.3894	-0.02784401	7.767908	3.449163
282	0	-552.8883	-558.9941	6.105797	15.71723	3.051702
283	1	-556.6258	-566.3817	9.755918	14.75695	2.840794
284	0	-555.3637	-559.425	4.061327	15.06119	3.213019
285	1	-558.9805	-573.222	14.24151	15.86626	2.532778
286	0	-563.2331	-572.2169	8.983813	11.18538	2.865035
287	1	-564.8798	-568.5881	3.708263	14.72099	3.252245
288	0	-555.7883	-567.192	11.40374	12.61187	2.71669
289	1	-549.5657	-559.1652	9.599566	13.46394	2.86519
290	0	-558.1832	-575.3235	17.14033	20.55498	2.284818
291	1	-553.7543	-562.6354	8.881142	14.83382	2.898368
292	0	-542.3541	-554.5721	12.21801	16.82548	2.640284
293	1	-547.9114	-556.6873	8.775942	12.36273	2.921857
294	0	-552.4729	-560.5633	8.090353	12.40775	2.977796
295	1	-547.7698	-560.9457	13.17589	16.12965	2.59607
296	0	-554.3661	-564.8766	10.51052	15.21108	2.782099
297	1	-548.9224	-559.0342	10.11176	11.3456	2.77373
298	0	-553.3277	-565.9489	12.6212	13.49479	2.641225
299	1	-562.699	-571.4252	8.726166	15.02528	2.904196
300	0	-548.1808	-559.726	11.54523	12.35367	2.697547
301	1	-554.3188	-566.4144	12.09559	12.53687	2.659448
302	0	-558.3394	-567.266	8.926637	14.45527	2.903039
303	1	-545.3223	-557.8768	12.55454	15.90111	2.638537
304	0	-557.8348	-563.998	6.163205	15.75635	3.046453
305	1	-551.1013	-560.1707	9.069367	14.85869	2.885137
306	0	-553.228	-557.5205	4.29251	12.00236	3.288081
307	1	-545.8359	-555.7363	9.900359	16.09676	2.800073
308	0	-564.8069	-570.8729	6.065938	11.03708	3.121007
309	1	-555.037	-566.4565	11.41958	11.00254	2.633171
310	0	-554.0709	-567.0787	13.00782	13.08712	2.604088
311	1	-547.6592	-553.6541	5.994901	11.80705	3.144625
312	0	-556.3496	-563.0532	6.703637	11.64659	3.081681
313	1	-554.4708	-559.8575	5.386628	12.49168	3.195014
314	0	-549.5758	-560.0204	10.4446	15.64361	2.777346
315	1	-561.9929	-563.2057	1.21284	8.950567	3.477536
316	0	-553.5743	-561.0971	7.522797	16.47093	2.93347
317	1	-552.2213	-559.9445	7.723261	13.84165	2.999054
318	0	-558.3938	-560.7822	2.388464	9.325068	3.383993
319	1	-554.0639	-557.3158	3.25185	7.887815	3.05752
320	0	-553.1476	-560.7767	7.629138	12.77699	3.016159
321	1	-542.6757	-555.159	12.48329	13.58545	2.652623
322	0	-554.3713	-557.2409	2.869621	12.43049	3.398016
323	1	-557.1908	-567.8175	10.62674	14.68385	2.782761
324	0	-562.6882	-565.2444	2.556251	11.26935	3.439765
325	1	-553.251	-561.6631	8.41217	11.63474	2.934589
326	0	-559.2698	-563.3356	4.065754	11.33172	3.306491
327	1	-552.4871	-560.6997	8.212618	11.37547	2.942349
328	0	-558.5099	-562.9797	4.469786	12.22826	3.271666
329	1	-565.1696	-572.0031	6.833465	16.43194	2.976942
330	0	-565.4223	-572.3485	6.92622	9.583137	2.930756
331	1	-553.82	-567.4521	13.63213	15.65043	2.573521
332	0	-550.4242	-562.856	12.43178	15.19163	2.655996
333	1	-543.6038	-554.9959	11.39214	14.41143	2.732758
334	0	-548.3845	-559.8664	11.48188	11.94545	2.686536
335	1	-545.1983	-556.3153	11.11705	11.8359	2.712162
336	0	-549.5057	-561.9625	12.45677	13.02499	2.644791
337	1	-557.0425	-563.771	6.728559	15.06695	3.035729
338	0	-550.3878	-563.0088	12.621	14.92701	2.645684
339	1	-555.6839	-563.8654	8.18152	13.78275	2.966791
340	0	-555.1995	-557.667	2.467463	17.18647	3.198606
341	1	-545.9652	-553.0075	7.042318	14.83022	3.022441
342	0	-558.8794	-566.0322	7.152822	12.67311	3.053695
343	1	-550.3204	-556.1128	5.792426	16.03004	3.058202
344	0	-545.278	-558.704	13.42609	13.88527	2.587585
345	1	-551.2478	-559.166	7.918171	13.08172	2.993018
346	0	-556.0154	-567.0435	11.02802	10.60336	2.633863
347	1	-568.283	-574.7472	6.464246	12.9633	3.105582
348	0	-552.2706	-565.1762	12.90565	17.21472	2.590588
349	1	-561.8684	-568.8101	6.94176	12.38922	3.070312
350	0	-547.004	-557.6966	10.69261	16.10357	2.750684
351	1	-556.8325	-566.3801	9.547544	14.57907	2.858083
352	0	-554.3214	-565.4482	11.12678	16.74943	2.707241
353	1	-557.9109	-563.686	5.775116	10.80617	3.138664
354	0	-545.3449	-559.5203	14.17535	16.70888	2.525897
355	1	-553.5549	-561.0266	7.47175	15.86776	2.9594
356	0	-548.0116	-562.5294	14.51782	16.50579	2.508312
357	1	-552.2582	-561.7226	9.464357	10.81887	2.798196
358	0	-542.7472	-556.7176	13.97035	17.02477	2.532464
359	1	-557.4787	-572.113	14.63433	16.54768	2.500695
360	0	-561.085	-576.481	15.396	13.85897	2.445126
361	1	-556.6155	-567.3537	10.73823	16.01216	2.750104
362	0	-571.83	-571.2328	-0.5971554	12.55715	3.670905
363	1	-552.6572	-562.0546	9.397361	13.2882	2.880406
364	0	-554.5362	-564.374	9.83777	12.13124	2.830016
365	1	-554.814	-563.0424	8.228463	10.20044	2.864542
366	0	-547.6187	-556.6256	9.006915	14.52597	2.896181
367	1	-562.0309	-567.3314	5.300417	14.50778	3.152005
368	0	-555.629	-558.7684	3.139358	12.76688	3.367837
369	1	-543.256	-555.8482	12.59224	12.04721	2.598855
370	0	-559.3882	-566.0103	6.622036	10.10188	3.014058
371	1	-554.405	-560.2167	5.811697	10.73872	3.132322
372	0	-552.2096	-559.9401	7.730569	12.0731	3.00283
373	1	-554.5704	-562.2635	7.693132	12.6014	3.010871
374	0	-544.4623	-554.6412	10.17888	12.80588	2.817027
375	1	-557.4554	-563.2527	5.797396	13.16226	3.153724
376	0	-547.0874	-558.0893	11.00194	17.23893	2.700442
377	1	-553.5546	-559.4545	5.899897	9.686112	3.048672
378	0	-559.5367	-566.7488	7.212135	14.52132	3.019864
379	1	-553.5431	-561.1101	7.566964	13.93587	3.0086
380	0	-549.962	-563.207	13.24501	15.31313	2.601557
381	1	-554.0301	-560.7092	6.679105	12.21676	3.090933
382	0	-548.2724	-558.1507	9.878384	15.98743	2.804486
383	1	-555.7336	-567.353	11.61939	14.22639	2.717686
384	0	-555.4365	-562.8179	7.381393	12.32103	3.034364
385	1	-554.408	-561.6838	7.275856	14.23695	3.022747
386	0	-555.4366	-561.3895	5.952878	12.9625	3.145041
387	1	-550.5803	-563.2368	12.6565	18.61926	2.56617
388	0	-550.833	-559.2459	8.412905	13.13362	2.955091
389	1	-561.8031	-563.9787	2.175651	9.447438	3.416676
390	0	-547.027	-555.2604	8.233478	12.24652	2.964158
391	1	-559.9892	-565.7183	5.729151	14.24869	3.131015
392	0	-553.8566	-557.0065	3.149952	10.80351	3.381544
393	1	-555.2911	-563.7827	8.491604	16.41842	2.87651
394	0	-551.3265	-560.3896	9.06309	13.12515	2.905575
395	1	-558.997	-564.6155	5.618419	14.88484	3.116403
396	0	-557.8657	-564.6736	6.807846	17.2291	2.944171
397	1	-547.0319	-562.9312	15.8993	13.29913	2.39151
398	0	-542.9201	-553.7837	10.86364	15.08361	2.761015
399	1	-552.1808	-561.1498	8.968989	11.5746	2.884411
400	0	-547.7874	-560.956	13.16858	12.92531	2.58729
401	1	-548.1386	-558.7546	10.61604	15.10111	2.777128
