Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
227	1	-457.3763	-460.5161	3.139805	18095.77	18.89674	0.990567	0.997571	1.0024	1.00946	2.452009
228	0	-455.5331	-452.7174	-2.815653	8439.181	16.94188	0.986197	0.996432	1.0035	1.01387	2.845267
229	1	-451.7585	-456.9419	5.183338	43995.9	14.23038	0.993946	0.998446	1.00154	1.00607	2.360913
230	0	-469.6641	-460.38	-9.284145	51870.88	10.74881	0.994424	0.998569	1.00142	1.00559	3.466108
231	1	-444.4774	-451.0538	6.576402	71882.5	15.57522	0.995263	0.998785	1.00121	1.00474	2.28806
232	0	-455.6719	-456.7236	1.051671	31581.96	13.69573	0.992857	0.998164	1.00182	1.00716	2.647919
233	1	-462.5419	-458.3814	-4.160481	83418.62	12.76522	0.995602	0.998872	1.00112	1.0044	3.037839
234	0	-461.5867	-456.0953	-5.491378	93280.06	12.25402	0.995841	0.998934	1.00106	1.00416	3.144776
235	1	-456.2256	-457.159	0.9333865	94315.76	13.47431	0.995864	0.99894	1.00105	1.00414	2.653901
236	0	-452.2256	-449.582	-2.643596	5061.327	12.60393	0.98219	0.99538	1.00451	1.01792	2.91756
237	1	-455.0407	-456.4461	1.405426	14888.8	14.08683	0.989602	0.99732	1.00264	1.01044	2.625688
238	0	-457.2476	-459.4466	2.199074	15676.67	16.53312	0.989866	0.997389	1.00257	1.01017	2.556677
239	1	-460.7838	-457.1361	-3.647676	82516	14.74828	0.995578	0.998866	1.00113	1.00443	2.969144
