Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1380	-453.8105	-450.421	-3.3895	66589.92	20.34766	0.995078	0.998738	1.00125	1.00493	2.732851
1390	-462.4434	-459.7505	-2.692857	92801.8	13.02613	0.995831	0.998931	1.00106	1.00418	2.924003
1400	-461.5421	-455.8889	-5.653128	95531.21	14.49683	0.99589	0.998947	1.00105	1.00412	3.113815
1410	-462.9502	-458.6714	-4.278775	75054.29	10.47984	0.995364	0.998811	1.00118	1.00464	2.983438
1420	-458.6649	-461.4532	2.788252	63649.86	18.35868	0.994966	0.998709	1.00128	1.00504	2.484371
1430	-465.6011	-458.7195	-6.881565	9125.111	15.17221	0.986725	0.99657	1.00337	1.01334	3.17032
1440	-460.3115	-455.0234	-5.288071	86729.94	11.43487	0.995687	0.998894	1.0011	1.00432	3.118533
1450	-458.0453	-451.1311	-6.914215	88384.26	11.82197	0.995728	0.998905	1.00109	1.00428	3.262885
1460	-464.5934	-460.5935	-3.999888	68199.03	13.33599	0.995137	0.998753	1.00124	1.00487	3.021701
1470	-466.7055	-467.0092	0.3037766	71489.21	12.507	0.99525	0.998782	1.00121	1.00476	2.680756
1480	-449.4793	-454.2967	4.817375	21118.46	12.64522	0.991267	0.997752	1.00222	1.00876	2.327962
1490	-457.039	-453.6311	-3.407984	43290.12	16.07034	0.993897	0.998433	1.00155	1.00612	2.912537
1500	-458.3502	-451.6035	-6.746706	43493.54	13.8135	0.993912	0.998437	1.00155	1.0061	3.2136
1510	-453.3135	-451.6482	-1.665276	2322.985	11.70517	0.973752	0.993141	1.00661	1.02649	2.814231
1520	-466.9237	-463.4082	-3.515539	9925.473	16.28532	0.98727	0.996712	1.00323	1.01279	2.911509
1530	-460.2932	-458.0161	-2.277094	46364.16	12.31055	0.994103	0.998486	1.0015	1.00591	2.883646
1540	-463.1698	-456.4939	-6.675828	73789.48	12.80878	0.995325	0.998801	1.00119	1.00468	3.234109
1550	-458.0421	-453.33	-4.712068	97719.36	12.11735	0.995937	0.998958	1.00104	1.00407	3.080238
1560	-449.0222	-451.8227	2.800552	10465.49	15.53237	0.987602	0.996799	1.00315	1.01245	2.530748
1570	-454.0698	-452.2236	-1.846213	91009.31	13.46844	0.99579	0.998921	1.00107	1.00422	2.860197
1580	-460.897	-458.911	-1.986054	95431.64	13.05415	0.995888	0.998946	1.00105	1.00412	2.869902
1590	-475.5444	-463.9826	-11.56177	65338.56	10.84645	0.995032	0.998726	1.00127	1.00498	3.677276
1600	-466.5833	-453.6792	-12.90413	98990.85	16.43734	0.995963	0.998965	1.00103	1.00404	3.477083
1610	-474.6854	-464.5667	-10.11862	78889.56	11.52562	0.995478	0.99884	1.00115	1.00453	3.539638
1620	-468.381	-459.9748	-8.406195	84641.07	10.80194	0.995634	0.998881	1.00111	1.00437	3.385514
1630	-464.9266	-463.9283	-0.9983029	92499.6	17.37088	0.995824	0.998929	1.00106	1.00418	2.724461
1640	-456.0773	-449.3252	-6.752142	61113.35	19.3028	0.994863	0.998682	1.00131	1.00515	2.953841
1650	-460.9865	-451.9372	-9.049358	614.3002	10.5857	0.949191	0.98644	1.01263	1.05174	3.441193
1660	-467.1868	-467.5791	0.3922734	7081.873	11.18553	0.984936	0.996102	1.00382	1.01514	2.603868
1670	-470.6516	-468.5171	-2.134418	9688.113	13.72921	0.987116	0.996672	1.00327	1.01294	2.880332
1680	-471.3858	-465.8741	-5.511612	25569.35	11.58383	0.992062	0.997958	1.00202	1.00796	3.140966
1690	-470.1148	-465.5098	-4.605016	74551.22	11.23568	0.995348	0.998807	1.00119	1.00466	3.052446
1700	-465.8572	-458.0281	-7.829061	95195.66	14.14633	0.995883	0.998945	1.00105	1.00412	3.278802
1710	-464.3119	-455.0698	-9.242128	16555.59	12.70087	0.990138	0.99746	1.00251	1.0099	3.438032
1720	-467.6616	-461.5142	-6.147354	54206.2	9.572723	0.994546	0.9986	1.00139	1.00546	3.092536
1730	-462.4869	-456.2785	-6.208412	35074.16	11.46849	0.993221	0.998258	1.00173	1.0068	3.19955
1740	-457.2263	-450.5339	-6.692394	24566.7	13.59088	0.991902	0.997917	1.00206	1.00812	3.216505
1750	-463.3736	-457.5003	-5.873235	5381.326	12.93176	0.982726	0.995521	1.00437	1.01738	3.169683
1760	-462.9908	-454.3996	-8.591121	10439.45	13.13831	0.987587	0.996795	1.00315	1.01247	3.373025
1770	-449.0663	-448.1215	-0.9447854	56980.77	14.39038	0.99468	0.998635	1.00136	1.00533	2.790143
1780	-465.2901	-461.933	-3.357121	59688.78	10.2111	0.994802	0.998666	1.00132	1.00521	2.872653
1790	-449.419	-452.1171	2.698103	61146.3	17.39873	0.994864	0.998682	1.00131	1.00515	2.511103
1800	-462.6202	-461.5558	-1.064327	16931.17	13.82801	0.990248	0.997488	1.00248	1.00979	2.802198
1810	-459.9243	-455.2691	-4.655234	21668.41	11.39712	0.991378	0.997781	1.00219	1.00865	3.062103
